DATE         ERC 
------------------
01/05/2010   6.2 
01/06/2010   5.7 
01/10/2010   4.2 
01/11/2010   3.9 
01/12/2010   3.6 
01/18/2010   2.7 
01/19/2010   2.5 
01/20/2010   2.4 
01/21/2010   2.2 
01/22/2010   2.1 
01/29/2010   1.6 
01/30/2010   1.5 
01/31/2010   1.5 
02/03/2010   1.4 
02/04/2010   1.3 
02/05/2010   1.3 
02/07/2010   1.2 
02/08/2010   1.2 
02/09/2010   1.1 
02/14/2010   1.0 
02/19/2010   1.0 
02/20/2010   0.9 
02/21/2010   0.9 
02/22/2010   0.9 
02/23/2010   0.9 
02/24/2010   0.9 
02/26/2010   0.9 
02/27/2010   0.9 
02/28/2010   0.9 
03/01/2010   0.8 
03/02/2010   0.8 
03/03/2010   0.8 
03/04/2010   0.8 
03/05/2010   0.8 
03/06/2010   0.8 
03/07/2010   0.8 
03/08/2010   0.8 
03/09/2010   0.8 
03/10/2010   0.8 
03/11/2010   0.8 
03/12/2010   0.8 
03/14/2010   0.8 
03/15/2010   0.8 
03/16/2010   0.8 
03/17/2010   0.8 
03/18/2010   0.8 
03/19/2010   0.8 
03/20/2010   0.8 
03/21/2010   0.8 
03/22/2010   0.8 
03/23/2010   0.8 
03/25/2010   0.8 
03/28/2010   0.8 
04/05/2010   0.8 
04/11/2010   0.8 
04/12/2010   0.8 
04/13/2010   0.8 
04/14/2010   0.8 
04/15/2010   0.8 
04/16/2010   0.8 
04/17/2010   0.8 
04/18/2010   0.8 
04/19/2010   0.8 
04/20/2010   0.8 
04/21/2010   0.8 
04/22/2010   0.8 
04/23/2010   0.8 
04/24/2010   0.8 
04/25/2010   0.8 
04/26/2010   0.8 
04/27/2010   0.8 
04/29/2010   0.8 
04/30/2010   0.8 
05/01/2010   0.8 
05/02/2010   0.8 
05/03/2010   0.8 
05/04/2010   0.8 
05/05/2010   0.8 
05/06/2010   0.8 
05/08/2010   0.8 
05/09/2010   0.8 
05/10/2010   0.8 
05/11/2010   0.8 
05/12/2010   0.8 
05/13/2010   0.8 
05/14/2010   0.8 
05/15/2010   0.8 
05/16/2010   0.8 
05/17/2010   0.8 
05/18/2010   0.8 
05/19/2010   0.8 
05/20/2010   0.8 
05/21/2010   0.8 
05/22/2010   0.8 
05/23/2010   0.8 
05/24/2010   0.8 
05/25/2010   0.8 
05/26/2010   0.8 
05/27/2010   0.8 
05/28/2010   0.8 
05/31/2010   0.8 
06/01/2010   0.8 
06/03/2010   0.8 
06/04/2010   0.8 
