DATE,ERC
1/1/2010,7.2
1/2/2010,6.3
1/3/2010,5.8
1/4/2010,5.4
1/5/2010,5
1/6/2010,4.6
1/7/2010,4.2
1/8/2010,3.9
1/9/2010,3.6
1/10/2010,3.4
1/11/2010,3.1
1/12/2010,2.9
1/13/2010,2.7
1/14/2010,2.6
1/15/2010,2.4
1/16/2010,2.3
1/17/2010,2.2
1/18/2010,2
1/19/2010,1.9
1/20/2010,1.8
1/21/2010,1.8
1/22/2010,1.7
1/23/2010,1.6
1/24/2010,1.5
1/25/2010,1.5
1/26/2010,1.4
1/27/2010,1.4
1/28/2010,1.3
1/29/2010,1.3
1/30/2010,1.2
1/31/2010,1.2
2/1/2010,1.2
2/2/2010,1.1
2/3/2010,1.1
2/4/2010,1.1
2/5/2010,1
2/6/2010,1
2/7/2010,1
2/8/2010,1
2/9/2010,1
2/10/2010,1
2/11/2010,0.9
2/12/2010,0.9
2/13/2010,0.9
2/14/2010,0.9
2/15/2010,0.9
2/16/2010,0.9
2/17/2010,0.9
2/18/2010,0.9
2/19/2010,0.9
2/20/2010,0.8
2/21/2010,0.8
2/22/2010,0.8
2/23/2010,0.8
2/24/2010,0.8
2/25/2010,0.8
2/26/2010,0.8
2/27/2010,0.8
2/28/2010,0.8
3/1/2010,0.8
3/2/2010,0.8
3/3/2010,0.8
3/4/2010,0.8
3/5/2010,0.8
3/6/2010,0.8
3/7/2010,0.8
3/8/2010,0.8
3/9/2010,0.8
3/10/2010,0.8
3/11/2010,0.8
3/12/2010,0.8
3/13/2010,0.8
3/14/2010,0.8
3/15/2010,0.8
3/16/2010,0.8
3/17/2010,0.8
3/18/2010,0.8
3/19/2010,0.8
3/20/2010,0.8
3/21/2010,0.8
3/22/2010,0.8
3/23/2010,0.8
3/24/2010,0.8
3/25/2010,0.8
3/26/2010,0.8
3/27/2010,9.1
3/28/2010,13.7
3/29/2010,14.7
3/30/2010,4.8
3/31/2010,4.3
4/1/2010,4.1
4/2/2010,3.5
4/3/2010,3.3
4/4/2010,3.1
4/5/2010,3
4/6/2010,3
4/7/2010,2.7
4/8/2010,2.5
4/9/2010,2.4
4/10/2010,2.2
4/11/2010,2.1
4/12/2010,11.1
4/13/2010,3.7
4/14/2010,9.9
4/15/2010,14.1
4/16/2010,15.6
4/17/2010,19.3
4/18/2010,19.8
4/19/2010,23
4/20/2010,23.3
4/21/2010,23.3
4/22/2010,24
4/23/2010,22.2
4/24/2010,25.5
4/25/2010,11.9
4/26/2010,22.1
4/27/2010,25
4/28/2010,13
4/29/2010,11.5
4/30/2010,10.1
5/1/2010,9.3
5/2/2010,9.3
5/3/2010,18.8
5/4/2010,9.5
5/5/2010,8.6
5/6/2010,8
5/7/2010,7.4
5/8/2010,6.8
5/9/2010,14.5
5/10/2010,10.5
5/11/2010,5.2
5/12/2010,2.6
5/13/2010,12.9
5/14/2010,17.4
5/15/2010,18.5
5/16/2010,17.7
5/17/2010,22.4
5/18/2010,24.5
5/19/2010,22.8
5/20/2010,14.7
5/21/2010,24.4
5/22/2010,22.4
5/23/2010,26.6
5/24/2010,16.4
5/25/2010,17.5
5/26/2010,22.5
5/27/2010,20.5
5/28/2010,9.2
5/29/2010,14.8
5/30/2010,18.3
5/31/2010,23.5
6/1/2010,7.8
6/2/2010,17.9
6/3/2010,13.1
6/4/2010,12.2
6/5/2010,15.4
6/6/2010,10.6
6/7/2010,16.4
6/8/2010,17.7
6/9/2010,18.9
6/10/2010,18.1
6/11/2010,15.2
6/12/2010,15.2
6/13/2010,18
6/14/2010,23.4
6/15/2010,25
6/16/2010,15.8
6/17/2010,23.2
6/18/2010,26.7
6/19/2010,25
6/20/2010,25.6
6/21/2010,25
6/22/2010,25.5
6/23/2010,20.4
6/24/2010,29.5
6/25/2010,27.9
6/26/2010,20.6
6/27/2010,26.8
6/28/2010,30
6/29/2010,34.2
6/30/2010,24.7
7/1/2010,17.3
7/2/2010,27.9
7/3/2010,25.1
7/4/2010,26.7
7/5/2010,22.2
7/6/2010,14.5
7/7/2010,21.6
7/8/2010,23.3
7/9/2010,24.9
7/10/2010,29.3
7/11/2010,26.8
7/12/2010,27.5
7/13/2010,30
7/14/2010,32.3
7/15/2010,34.7
7/16/2010,37.8
7/17/2010,37.6
7/18/2010,38.2
7/19/2010,29.8
7/20/2010,28
7/21/2010,27.5
7/22/2010,23.5
7/23/2010,25.3
7/24/2010,25.6
7/25/2010,29.9
7/26/2010,31.7
7/27/2010,29.5
7/28/2010,24.4
7/29/2010,27.1
7/30/2010,31
7/31/2010,33
8/1/2010,26.5
8/2/2010,29
8/3/2010,30.9
8/4/2010,27.7
8/5/2010,26.8
8/6/2010,24.6
8/7/2010,15.1
8/8/2010,25.8
8/9/2010,26.6
8/10/2010,15
8/11/2010,27.7
8/12/2010,28.8
8/19/2010,40.4
8/20/2010,41.6
8/21/2010,44.8
8/22/2010,24.3
8/23/2010,33.9
8/24/2010,36.5
8/25/2010,40.2
8/26/2010,44
8/27/2010,44.2
8/28/2010,37
8/29/2010,27.4
8/30/2010,20.7
8/31/2010,24.5
9/1/2010,21.8
9/2/2010,21.4
9/3/2010,25.8
9/4/2010,29
9/5/2010,12.5
9/6/2010,18.2
9/7/2010,24.3
9/8/2010,23.2
9/9/2010,17.1
9/10/2010,14.5
9/11/2010,23.5
9/12/2010,25.3
9/13/2010,27.2
9/14/2010,26.4
9/15/2010,22.8
9/16/2010,27.9
9/17/2010,16.4
9/18/2010,17.8
9/19/2010,18.6
9/20/2010,24.7
9/21/2010,25.3
9/22/2010,17.7
9/23/2010,19.7
9/24/2010,25.8
9/25/2010,25.9
9/26/2010,30
9/27/2010,32.2
9/28/2010,36.5
9/29/2010,35.8
9/30/2010,34.1
10/1/2010,31.6
10/2/2010,35
10/3/2010,38.7
10/4/2010,39.4
10/5/2010,33.7
10/6/2010,25.9
10/7/2010,29.6
10/8/2010,18.6
10/9/2010,18.6
10/10/2010,24.7
10/11/2010,16
10/12/2010,24.1
10/13/2010,28.9
10/14/2010,30.4
10/15/2010,33.1
10/16/2010,16.7
10/17/2010,14.7
10/18/2010,22.1
10/19/2010,26.2
10/20/2010,27.4
10/21/2010,29.4
10/22/2010,28.9
10/23/2010,28.6
10/24/2010,29.3
10/25/2010,13.1
10/26/2010,12.3
10/27/2010,11.8
10/28/2010,10.9
10/29/2010,24.1
10/30/2010,21.5
10/31/2010,20.6
11/1/2010,19.7
11/2/2010,23.7
11/3/2010,22.5
11/4/2010,24.6
11/5/2010,28
11/6/2010,27.8
11/7/2010,29.4
11/8/2010,13.2
11/9/2010,12.8
11/10/2010,11.9
11/11/2010,11.4
11/12/2010,10.4
11/13/2010,9.4
11/14/2010,8.5
11/15/2010,7.8
11/16/2010,7.1
11/17/2010,6.5
11/18/2010,5.9
11/19/2010,5.5
11/20/2010,5
11/21/2010,4.7
11/22/2010,4.3
11/23/2010,4
11/24/2010,3.8
11/25/2010,3.5
11/26/2010,3.3
11/27/2010,3.1
11/28/2010,2.9
11/29/2010,2.7
11/30/2010,2.6
12/1/2010,2.4
12/2/2010,2.3
12/3/2010,2.2
12/4/2010,2.1
12/5/2010,2
12/6/2010,1.9
12/7/2010,1.8
12/8/2010,1.7
12/9/2010,1.6
12/10/2010,1.5
12/11/2010,1.5
12/12/2010,1.4
12/13/2010,1.4
12/14/2010,1.3
12/15/2010,1.3
12/16/2010,1.2
12/17/2010,1.2
12/18/2010,1.2
12/19/2010,1.1
12/20/2010,1.1
12/21/2010,1.1
12/22/2010,1.1
12/23/2010,1
12/24/2010,1
12/25/2010,1
12/26/2010,1
12/27/2010,0.9
12/28/2010,0.9
12/29/2010,0.9
12/30/2010,0.9
12/31/2010,0.9
1/1/2011,0.9
1/2/2011,0.9
1/3/2011,0.9
1/4/2011,0.9
1/5/2011,0.9
1/6/2011,0.8
1/7/2011,0.8
1/8/2011,0.8
1/9/2011,0.8
1/10/2011,0.8
1/11/2011,0.8
1/12/2011,0.8
1/13/2011,0.8
1/14/2011,0.8
1/15/2011,0.8
1/16/2011,0.8
1/17/2011,0.8
1/18/2011,0.8
1/19/2011,0.8
1/20/2011,0.8
1/21/2011,0.8
1/22/2011,0.8
1/23/2011,0.8
1/24/2011,0.8
1/25/2011,0.8
1/26/2011,0.8
1/27/2011,0.8
1/28/2011,0.8
1/29/2011,0.8
1/30/2011,0.8
1/31/2011,0.8
2/1/2011,0.8
2/2/2011,0.8
2/3/2011,0.8
2/4/2011,0.8
2/5/2011,0.8
2/6/2011,0.8
2/7/2011,0.8
2/8/2011,0.8
2/9/2011,0.8
2/10/2011,0.8
2/11/2011,0.8
2/12/2011,0.8
2/13/2011,0.8
2/14/2011,0.8
2/15/2011,0.8
2/16/2011,0.8
2/17/2011,0.8
2/18/2011,0.8
2/19/2011,0.8
2/20/2011,0.8
2/21/2011,0.8
2/22/2011,0.8
2/23/2011,0.8
2/24/2011,0.8
2/25/2011,0.8
2/26/2011,0.8
2/27/2011,0.8
2/28/2011,0.8
3/1/2011,0.8
3/2/2011,0.8
3/3/2011,0.8
3/4/2011,0.8
3/5/2011,0.8
3/6/2011,0.8
3/7/2011,0.8
3/8/2011,0.8
3/9/2011,0.8
3/10/2011,0.8
3/11/2011,0.8
3/12/2011,0.8
3/13/2011,0.8
3/14/2011,0.8
3/15/2011,0.8
3/16/2011,0.8
3/17/2011,0.8
3/18/2011,0.8
3/19/2011,0.8
3/20/2011,0.8
3/21/2011,0.8
3/22/2011,0.8
3/23/2011,0.8
3/24/2011,0.8
3/25/2011,0.8
3/26/2011,0.8
3/27/2011,0.8
3/28/2011,0.8
3/29/2011,0.8
3/30/2011,0.8
3/31/2011,0.8
4/1/2011,0.8
4/2/2011,0.8
4/3/2011,0.8
4/4/2011,0.8
4/5/2011,0.8
4/6/2011,0.8
4/7/2011,0.8
4/8/2011,0.8
4/9/2011,0.8
4/10/2011,0.8
4/11/2011,0.8
4/12/2011,0.8
4/13/2011,0.8
4/14/2011,0.8
4/15/2011,0.8
4/16/2011,0.8
4/17/2011,0.8
4/18/2011,0.8
4/19/2011,0.8
4/20/2011,0.8
4/21/2011,0.8
4/22/2011,0.8
4/23/2011,0.8
4/24/2011,0.8
4/25/2011,0.8
4/26/2011,0.8
4/27/2011,0.8
4/28/2011,0.8
4/29/2011,0.8
4/30/2011,0.8
5/1/2011,0.8
5/2/2011,0.8
5/3/2011,0.8
5/4/2011,0.8
5/5/2011,0.8
5/6/2011,0.8
5/7/2011,0.8
5/8/2011,0.8
