DATE,ERC
-----------,-------
1/1/2010,7.1
1/2/2010,6.3
1/3/2010,5.8
1/4/2010,5.4
1/5/2010,5
1/6/2010,4.6
1/7/2010,4.2
1/8/2010,3.9
1/9/2010,3.6
1/10/2010,3.3
1/11/2010,3.1
1/12/2010,2.9
1/13/2010,2.7
1/14/2010,2.6
1/15/2010,2.4
1/16/2010,2.3
1/17/2010,2.1
1/18/2010,2
1/19/2010,1.9
1/20/2010,1.8
1/21/2010,1.7
1/22/2010,1.7
1/23/2010,1.6
1/24/2010,1.5
1/25/2010,1.5
1/26/2010,1.4
1/27/2010,1.4
1/28/2010,1.3
1/29/2010,1.3
1/30/2010,1.2
1/31/2010,1.2
2/1/2010,1.2
2/2/2010,1.1
2/3/2010,1.1
2/4/2010,1.1
2/5/2010,1
2/6/2010,1
2/7/2010,1
2/8/2010,1
2/9/2010,1
2/10/2010,0.9
2/11/2010,0.9
2/12/2010,0.9
2/13/2010,0.9
2/14/2010,0.9
2/15/2010,0.9
2/16/2010,0.9
2/17/2010,0.9
2/18/2010,0.9
2/19/2010,0.9
2/20/2010,0.8
2/21/2010,0.8
2/22/2010,0.8
2/23/2010,0.8
2/24/2010,0.8
2/25/2010,0.8
2/26/2010,0.8
2/27/2010,0.8
2/28/2010,0.8
3/1/2010,0.8
3/2/2010,0.8
3/3/2010,8.4
3/4/2010,8.3
3/5/2010,11.5
3/6/2010,13.6
3/7/2010,15.5
3/8/2010,15.4
3/9/2010,7.4
3/10/2010,6.7
3/11/2010,14.8
3/12/2010,17.4
3/13/2010,18.9
3/14/2010,20.1
3/15/2010,21.2
3/16/2010,22.8
3/17/2010,24.7
3/18/2010,25.2
3/19/2010,25.4
3/20/2010,27.4
3/21/2010,28.1
3/22/2010,23.7
3/23/2010,27.5
3/24/2010,27.5
3/25/2010,28.3
3/26/2010,28.2
3/27/2010,29.7
3/28/2010,30.3
3/29/2010,12.8
3/30/2010,22.2
3/31/2010,11.3
4/1/2010,9.5
4/2/2010,19.6
4/3/2010,21.2
4/4/2010,22.5
4/5/2010,23.3
4/6/2010,13.5
4/7/2010,20
4/8/2010,17.9
4/9/2010,12.1
4/10/2010,21
4/11/2010,23.7
4/12/2010,22.1
4/13/2010,9.4
4/14/2010,19.1
4/15/2010,18.2
4/16/2010,21.7
4/17/2010,20.2
4/18/2010,22.5
4/19/2010,24.1
4/20/2010,27
4/21/2010,29.8
4/22/2010,26.3
4/23/2010,28.9
4/24/2010,18.7
4/25/2010,27.2
4/26/2010,29.7
4/27/2010,29.5
4/28/2010,25.3
4/29/2010,14.6
4/30/2010,22.6
5/1/2010,25.1
5/2/2010,25.6
5/3/2010,15.5
5/4/2010,26.5
5/5/2010,27.3
5/6/2010,29.7
5/7/2010,30.6
5/8/2010,30.8
5/9/2010,22
5/10/2010,30
5/11/2010,33.4
5/12/2010,32.9
5/13/2010,35.4
5/14/2010,36.4
5/15/2010,37.8
5/16/2010,37.7
5/17/2010,38.9
5/18/2010,33.9
5/19/2010,35.3
5/20/2010,35.3
5/21/2010,33.5
5/22/2010,36.6
5/23/2010,35.3
5/24/2010,27.2
5/25/2010,33.5
5/26/2010,35.1
5/27/2010,16.6
5/28/2010,20.1
5/29/2010,17
5/30/2010,22.4
5/31/2010,10.3
6/1/2010,20.5
6/2/2010,13.4
6/3/2010,22.4
6/4/2010,9.4
6/5/2010,18.7
6/6/2010,19
6/7/2010,13.6
6/8/2010,15.5
6/9/2010,10.5
6/10/2010,10.1
6/11/2010,20.2
6/12/2010,21
6/13/2010,25.3
6/14/2010,28.3
6/15/2010,31.5
6/16/2010,15.3
6/17/2010,7.8
6/18/2010,17.6
6/19/2010,19.2
6/20/2010,20.7
6/21/2010,14.1
6/22/2010,17.8
6/23/2010,20
6/24/2010,24.7
6/25/2010,27.1
6/26/2010,28.9
6/27/2010,31.4
6/28/2010,33.5
