DATE         ERC 
------------------
01/01/2010   7.1 
01/02/2010   6.3 
01/03/2010   5.8 
01/04/2010   5.4 
01/05/2010   5.0 
01/06/2010   4.6 
01/07/2010   4.2 
01/08/2010   3.9 
01/09/2010   3.6 
01/10/2010   3.3 
01/11/2010   3.1 
01/12/2010   2.9 
01/13/2010   2.7 
01/14/2010   2.6 
01/15/2010   2.4 
01/16/2010   2.3 
01/17/2010   2.1 
01/18/2010   2.0 
01/19/2010   1.9 
01/20/2010   1.8 
01/21/2010   1.7 
01/22/2010   1.7 
01/23/2010   1.6 
01/24/2010   1.5 
01/25/2010   1.5 
01/26/2010   1.4 
01/27/2010   1.4 
01/28/2010   1.3 
01/29/2010   1.3 
01/30/2010   1.2 
01/31/2010   1.2 
02/01/2010   1.2 
02/02/2010   1.1 
02/03/2010   1.1 
02/04/2010   1.1 
02/05/2010   1.0 
02/06/2010   1.0 
02/07/2010   1.0 
02/08/2010   1.0 
02/09/2010   1.0 
02/10/2010   0.9 
02/11/2010   0.9 
02/12/2010   0.9 
02/13/2010   0.9 
02/14/2010   0.9 
02/15/2010   0.9 
02/16/2010   0.9 
02/17/2010   0.9 
02/18/2010   0.9 
02/19/2010   0.9 
02/20/2010   0.8 
02/21/2010   0.8 
02/22/2010   0.8 
02/23/2010   0.8 
02/24/2010   0.8 
02/25/2010   0.8 
02/26/2010   0.8 
02/27/2010   0.8 
02/28/2010   0.8 
03/01/2010   0.8 
03/02/2010   0.8 
03/03/2010   0.8 
03/04/2010   0.8 
03/05/2010   0.8 
03/06/2010   0.8 
03/07/2010   0.8 
03/08/2010   0.8 
03/09/2010   0.8 
03/10/2010   0.8 
03/11/2010   0.8 
03/12/2010   0.8 
03/13/2010   0.8 
03/14/2010   0.8 
03/15/2010   0.8 
03/16/2010   0.8 
03/17/2010   9.1 
03/18/2010   9.5 
03/19/2010  11.3 
03/20/2010  14.6 
03/21/2010  15.4 
03/22/2010  10.9 
03/23/2010  14.6 
03/24/2010  16.8 
03/25/2010  17.6 
03/26/2010  15.9 
03/27/2010  18.5 
03/28/2010  18.7 
03/29/2010   4.1 
03/30/2010  11.1 
03/31/2010   4.3 
04/01/2010  14.0 
04/02/2010  15.4 
04/03/2010   6.0 
04/04/2010  13.7 
04/05/2010  16.1 
04/06/2010   9.0 
04/07/2010  15.1 
04/08/2010   5.6 
04/09/2010   6.4 
04/10/2010   5.9 
04/11/2010  16.0 
04/12/2010  11.9 
04/13/2010   4.2 
04/14/2010   9.7 
04/15/2010  14.3 
04/16/2010  17.7 
04/17/2010  18.6 
04/18/2010  16.6 
04/19/2010  21.1 
04/20/2010  24.2 
04/21/2010  26.4 
04/22/2010  23.8 
04/23/2010  26.4 
04/24/2010  25.0 
04/25/2010  27.1 
04/26/2010  28.1 
04/27/2010  16.9 
04/28/2010  17.7 
04/29/2010  18.0 
04/30/2010  19.5 
05/01/2010  19.3 
05/02/2010  22.4 
05/03/2010   6.7 
05/04/2010  19.5 
05/05/2010  15.5 
05/06/2010  21.6 
05/07/2010  22.8 
05/08/2010  10.6 
05/09/2010  18.2 
05/10/2010  21.0 
05/11/2010  24.2 
05/12/2010  25.5 
05/13/2010  28.0 
05/14/2010  29.5 
05/15/2010  30.5 
05/16/2010  31.7 
05/17/2010  32.5 
05/18/2010  28.7 
05/19/2010  27.3 
05/20/2010  28.4 
05/21/2010  25.8 
05/22/2010  29.2 
05/23/2010  28.4 
05/24/2010  29.5 
05/25/2010  29.6 
05/26/2010  31.8 
05/27/2010  11.9 
05/28/2010  19.4 
05/29/2010  14.6 
05/30/2010  16.4 
05/31/2010   4.9 
06/01/2010  14.5 
06/02/2010  11.1 
06/03/2010  15.9 
06/04/2010   2.1 
06/05/2010  13.0 
06/06/2010  16.5 
06/07/2010  15.9 
06/08/2010  20.1 
06/09/2010  12.8 
06/10/2010  14.9 
06/11/2010  18.2 
06/12/2010  18.7 
06/13/2010  22.1 
06/14/2010  24.4 
06/15/2010  26.7 
06/16/2010   8.3 
06/17/2010   3.4 
06/18/2010  14.2 
06/19/2010  14.1 
06/20/2010  16.3 
06/21/2010   5.0 
06/22/2010  13.2 
06/23/2010  14.0 
06/24/2010  18.5 
06/25/2010  18.3 
06/26/2010  23.4 
06/27/2010  26.1 
06/28/2010  28.1 
06/29/2010  27.2 
06/30/2010  29.9 
07/01/2010  28.5 
07/02/2010  21.2 
07/03/2010  24.2 
07/04/2010  23.8 
07/05/2010  12.3 
07/06/2010  22.5 
07/07/2010  24.3 
07/08/2010  26.6 
07/09/2010  28.8 
07/10/2010  29.9 
07/11/2010  31.3 
07/12/2010  30.2 
07/13/2010  32.4 
07/14/2010  33.3 
07/15/2010  34.0 
07/16/2010  35.1 
07/17/2010  36.0 
07/18/2010  37.2 
07/19/2010  35.1 
07/20/2010  36.1 
07/21/2010  37.0 
07/22/2010  33.8 
07/23/2010  30.8 
07/24/2010  32.0 
07/25/2010  33.5 
07/26/2010  35.9 
07/27/2010  36.8 
07/28/2010  30.9 
07/29/2010  30.3 
07/30/2010  26.7 
07/31/2010  24.5 
08/01/2010  28.5 
08/02/2010  29.0 
08/03/2010  28.1 
08/04/2010  27.4 
08/05/2010  29.2 
08/06/2010  23.1 
08/07/2010  26.0 
08/08/2010  25.0 
08/09/2010  26.6 
08/10/2010  24.2 
08/11/2010  28.6 
08/12/2010  27.5 
08/13/2010  26.8 
08/14/2010  28.0 
08/15/2010  29.9 
08/16/2010  33.0 
08/17/2010  35.0 
08/18/2010  36.6 
08/19/2010  39.4 
08/20/2010  40.5 
08/21/2010  40.3 
08/22/2010  38.5 
08/23/2010  25.2 
08/24/2010  36.9 
08/25/2010  37.2 
08/26/2010  38.5 
08/27/2010  42.7 
08/28/2010  39.8 
08/29/2010  28.4 
08/30/2010  31.4 
08/31/2010  25.9 
09/01/2010  18.6 
09/02/2010  24.1 
09/03/2010  24.3 
09/04/2010  23.0 
09/05/2010  23.2 
09/06/2010  19.2 
09/07/2010  20.1 
09/08/2010  19.0 
09/09/2010  13.2 
09/10/2010  15.0 
09/11/2010  15.3 
09/12/2010  17.6 
09/13/2010  18.9 
09/14/2010  19.3 
09/15/2010  19.8 
09/16/2010  17.5 
09/17/2010  12.4 
09/18/2010   9.3 
09/19/2010   7.1 
09/20/2010   0.0 
09/21/2010   0.0 
09/22/2010   2.6 
09/23/2010   0.2 
09/24/2010   0.0 
09/25/2010   0.0 
09/26/2010   0.0 
09/27/2010   0.0 
09/28/2010   0.0 
09/29/2010   0.0 
09/30/2010   0.0 
10/01/2010   0.0 
10/02/2010   0.0 
10/03/2010   0.0 
10/04/2010   0.0 
10/05/2010   0.0 
10/06/2010   0.0 
10/07/2010   0.0 
10/08/2010   0.0 
10/09/2010   0.0 
10/10/2010   0.0 
10/11/2010   0.0 
10/12/2010   0.0 
10/13/2010   0.0 
10/14/2010   0.0 
10/15/2010   0.0 
10/16/2010   0.0 
10/17/2010   0.0 
10/18/2010   0.0 
10/19/2010   0.0 
10/20/2010   0.0 
10/21/2010   0.0 
10/22/2010   0.0 
10/23/2010   0.0 
10/24/2010   0.0 
10/25/2010   0.0 
10/26/2010   0.0 
10/27/2010   0.0 
10/28/2010   0.0 
10/29/2010   0.0 
10/30/2010   0.0 
10/31/2010   0.0 
11/01/2010   0.0 
11/02/2010   0.0 
11/03/2010   0.0 
11/04/2010   0.0 
11/05/2010   0.0 
11/06/2010   0.0 
11/07/2010   0.0 
11/08/2010   0.0 
11/09/2010   0.0 
11/10/2010   0.0 
11/11/2010   0.0 
11/12/2010   0.0 
11/13/2010   0.0 
11/14/2010   0.0 
11/15/2010   0.0 
11/16/2010   0.0 
11/17/2010   0.0 
11/18/2010   0.0 
11/19/2010   0.0 
11/20/2010   0.0 
11/21/2010   0.0 
11/22/2010   0.0 
11/23/2010   0.0 
11/24/2010   0.0 
11/25/2010   0.0 
11/26/2010   0.0 
11/27/2010   0.0 
11/28/2010   0.0 
11/29/2010   0.0 
11/30/2010   0.0 
12/01/2010   0.0 
12/02/2010   0.0 
12/03/2010   0.1 
12/04/2010   0.1 
12/05/2010   0.2 
12/06/2010   0.2 
12/07/2010   0.3 
12/08/2010   0.3 
12/09/2010   0.3 
12/10/2010   0.4 
12/11/2010   0.4 
12/12/2010   0.4 
12/13/2010   0.5 
12/14/2010   0.5 
12/15/2010   0.5 
12/16/2010   0.5 
12/17/2010   0.5 
12/18/2010   0.6 
12/19/2010   0.6 
12/20/2010   0.6 
12/21/2010   0.6 
12/22/2010   0.6 
12/23/2010   0.6 
12/24/2010   0.6 
12/25/2010   0.6 
12/26/2010   0.7 
12/27/2010   0.7 
12/28/2010   0.7 
12/29/2010   0.7 
12/30/2010   0.7 
12/31/2010   0.7 
01/01/2011   0.7 
01/02/2011   0.7 
01/03/2011   0.7 
01/04/2011   0.7 
01/05/2011   0.7 
01/06/2011   0.7 
01/07/2011   0.7 
01/08/2011   0.7 
01/09/2011   0.7 
01/10/2011   0.7 
01/11/2011   0.7 
01/12/2011   0.7 
01/13/2011   0.7 
01/14/2011   0.7 
01/15/2011   0.7 
01/16/2011   0.7 
01/17/2011   0.7 
01/18/2011   0.7 
01/19/2011   0.7 
01/20/2011   0.7 
01/21/2011   0.7 
01/22/2011   0.7 
01/23/2011   0.8 
01/24/2011   0.8 
01/25/2011   0.8 
01/26/2011   0.8 
01/27/2011   0.8 
01/28/2011   0.8 
01/29/2011   0.8 
01/30/2011   0.8 
01/31/2011   0.8 
02/01/2011   0.8 
02/02/2011   0.8 
02/03/2011   0.8 
02/04/2011   0.8 
02/05/2011   0.8 
02/06/2011   0.8 
02/07/2011   0.8 
02/08/2011   0.8 
02/09/2011   0.8 
02/10/2011   0.8 
02/11/2011   0.8 
02/12/2011   0.8 
02/13/2011   0.8 
02/14/2011   0.8 
02/15/2011   0.8 
02/16/2011   0.8 
02/17/2011   0.8 
02/18/2011   0.8 
02/19/2011   0.8 
02/20/2011   0.8 
02/23/2011   0.8 
02/24/2011   0.8 
02/25/2011   0.8 
02/26/2011   0.8 
02/27/2011   0.8 
02/28/2011   0.8 
03/01/2011   0.8 
03/02/2011   0.8 
03/03/2011   0.8 
03/04/2011   0.8 
03/05/2011   0.8 
03/06/2011   0.8 
03/07/2011   0.8 
03/08/2011   0.8 
03/09/2011   0.8 
03/10/2011   0.8 
03/11/2011   0.8 
03/12/2011   0.8 
03/13/2011   0.8 
03/14/2011   0.8 
03/15/2011   0.8 
03/16/2011   0.8 
03/17/2011   0.8 
03/18/2011   0.8 
03/19/2011   0.8 
03/20/2011   0.8 
03/21/2011   0.8 
03/22/2011   0.8 
03/23/2011   0.8 
03/24/2011   0.8 
03/25/2011   0.8 
03/26/2011   0.8 
03/27/2011   0.8 
03/28/2011   0.8 
03/29/2011   0.8 
03/30/2011   0.8 
03/31/2011   0.8 
04/01/2011   0.8 
04/02/2011   0.8 
04/03/2011   0.8 
04/04/2011   0.8 
04/05/2011   0.8 
04/06/2011   0.8 
04/07/2011   0.8 
04/08/2011   0.8 
04/09/2011   0.8 
04/10/2011   0.8 
04/11/2011   0.8 
04/12/2011   0.8 
04/13/2011   0.8 
04/14/2011   0.8 
04/15/2011   0.8 
04/16/2011   0.8 
04/17/2011   0.8 
04/18/2011   0.8 
04/19/2011   0.8 
04/20/2011   0.8 
04/21/2011   0.8 
04/22/2011   0.8 
04/23/2011   0.8 
04/24/2011   0.8 
04/25/2011   0.8 
04/26/2011   0.8 
04/27/2011   0.8 
04/28/2011   0.8 
04/29/2011   0.8 
04/30/2011   0.8 
05/01/2011   0.8 
05/02/2011   0.8 
05/03/2011   0.8 
05/04/2011   0.8 
05/05/2011   0.8 
05/06/2011   0.8 
05/07/2011   0.8 
05/08/2011   0.8 
05/09/2011   9.5 
05/10/2011  15.3 
05/11/2011  18.9 
05/12/2011  20.2 
05/13/2011  19.3 
05/14/2011  24.1 
05/15/2011  26.4 
05/16/2011  19.3 
05/17/2011  18.6 
05/18/2011  23.8 
05/19/2011  26.1 
05/20/2011  25.5 
05/21/2011  25.2 
05/22/2011  18.1 
05/23/2011  23.0 
05/24/2011   8.0 
